Time Difference ch2-ch1,Time Difference ch3-ch1,Time Difference ch4-ch1,Time Difference ch3-ch2,Time Difference ch4-ch2,Time Difference ch4-ch3
3.7,,7.5,,6.3,
-1.2,,0.0,,1.2,
2.5,,5.0,,0.0,
1.2,,8.8,,0.0,
0.0,,2.5,,1.3,
-1.3,,1.2,,0.0,
1.3,,2.5,,0.0,
7.4,,3.8,,1.3,
-5.0,,1.3,,5.0,
1.3,,3.7,,2.5,
0.0,,2.5,,1.2,
1.3,,8.8,,5.0,
3.7,,3.8,,-1.2,
5.0,,0.0,,0.0,
0.0,,2.5,,0.0,
0.0,,5.0,,7.5,
5.0,,3.7,,5.0,
2.5,,2.5,,-1.3,
5.0,,10.0,,-1.2,
2.5,,2.5,,1.2,
-1.2,,0.0,,0.0,
7.5,,3.8,,-1.3,
0.0,,7.6,,5.0,
1.2,,3.7,,5.0,
2.5,,5.0,,-3.7,
2.4,,8.7,,-1.2,
3.7,,0.0,,0.0,
-2.5,,6.3,,2.5,
6.3,,0.0,,-1.2,
7.5,,6.3,,0.0,
3.8,,0.0,,0.0,
